Model,CV_MAE_Avg,CV_STD_Avg,MAE_Bottom,MAE_Up,MAE_Avg,RMSE_Bottom,RMSE_Up,RMSE_Avg,R2_Bottom,R2_Up,R2_Avg,MAPE_Bottom,MAPE_Up,MAPE_Avg,Scaling_Used
CatBoost_Optimized,1364166.4173566452,133128.81396639367,1013448.1309844111,1518080.998446093,1265764.564715252,1450651.505441303,2239650.206352692,1845150.8558969975,0.7864849789653534,0.7902789212262732,0.7883819500958134,14.072971918672078,13.664517002624052,13.868744460648065,False
GradientBoosting_Optimized,1390516.712823562,121987.6506990906,1034316.9069388654,1543652.6846538265,1288984.795796346,1464085.3960229354,2285629.513025562,1874857.4545242486,0.7825121175723813,0.781579516395969,0.7820458169841751,14.514014245007495,13.788629817294474,14.151322031150984,False
Bagging_Optimized,1410099.4875675584,137721.9832493122,1033009.6393457494,1541259.7531561225,1287134.696250936,1439539.0132061224,2190928.664374978,1815233.8387905501,0.7897436475213948,0.7993042533124917,0.7945239504169432,15.067008881738008,14.3883570402486,14.727682960993304,False
XGBoost_Optimized,1432873.5386995059,87449.34947313186,1079654.020474138,1644156.0711206896,1361905.0457974137,1536762.8127089737,2328746.491087696,1932754.6518983347,0.7603839344101587,0.7732610553147069,0.7668224948624328,15.206795207563632,14.778282036182686,14.992538621873159,False
HistGradientBoosting_Optimized,1451790.6853507673,139265.29664103634,1055458.260467561,1591490.0696212803,1323474.1650444206,1505456.6469679377,2342890.88321657,1924173.765092254,0.770047172221688,0.7704983465462995,0.7702727593839938,14.743610706812577,14.082830697842963,14.41322070232777,False
RandomForest_Optimized,1455094.1101569282,182585.61517271266,983377.3962244829,1455497.441270742,1219437.4187476125,1370744.4096664102,2051095.8706235334,1710920.1401449717,0.8093594798795907,0.8241049513495664,0.8167322156145785,14.646898231061353,13.820918789532449,14.233908510296901,False
ExtraTree_Optimized,1553580.988763238,143237.17650355308,1124639.7605129988,1613067.9372680916,1368853.8488905453,1601972.9119093716,2279835.0023692986,1940903.957139335,0.73961702545735,0.7826855884801246,0.7611513069687372,15.575196795317838,14.426219620173697,15.000708207745767,False
DecisionTree_Optimized,1673523.3667816953,205119.60411405226,1220391.729027848,1636965.1699504624,1428678.4494891553,1849749.8600132186,2538271.0824626866,2194010.471237953,0.6528411398617798,0.7306247453708293,0.6917329426163046,16.58530224220079,14.45461883201242,15.519960537106606,False
KNN_Optimized,1690631.138684771,226745.39563213688,1075913.739616957,1660883.0971691634,1368398.41839306,1546031.8673358404,2380982.677644472,1963507.2724901563,0.7574847069463391,0.762974994396097,0.760229850671218,15.29796568981277,14.990594698191515,15.144280194002143,True
ExtraTrees_Optimized,1702352.2872734414,214924.62455917092,1197608.76886951,1808343.6417494244,1502976.2053094672,1632555.1334588393,2441825.294784037,2037190.214121438,0.7295805275413225,0.7507065485284166,0.7401435380348695,18.24746325722366,17.57671423806177,17.912088747642713,False
AdaBoost_Optimized,1765407.8296733138,176969.63519882062,1278722.0615397845,2031611.0920076745,1655166.5767737296,1673515.095197631,2769925.0353868627,2221720.0652922466,0.7158409346529369,0.6792122871819672,0.697526610917452,18.388257124804454,18.14759350503862,18.267925314921538,False
HuberRegressor,1902558.6356254295,245524.06858523563,1325487.207680189,2066150.3350204271,1695818.771350308,2006230.3207864005,3219647.762845888,2612939.0418161443,0.5916205997527766,0.566590509658293,0.5791055547055348,18.846245234442954,18.489033963487376,18.667639598965167,False
Ridge_Optimized,2055901.395636558,155581.29959435653,1515580.8209488688,2381445.094374937,1948512.957661903,1885918.3756491437,2950836.6518270946,2418377.513738119,0.639132283289517,0.6359407817738423,0.6375365325316796,22.96950158717949,23.05654748984222,23.013024538510855,False
ElasticNet_Optimized,2067039.1973809574,154140.0205566491,1518626.5122772434,2385327.9663133095,1951977.2392952763,1884595.1255262443,2951292.592831628,2417943.859178936,0.6396385095736248,0.6358282697177857,0.6377333896457053,23.008607892860528,23.096487597027746,23.052547744944135,False
Lasso_Optimized,2070508.5165313073,153823.18978633266,1519835.947886598,2386821.3681130935,1953328.6579998457,1884136.4226340617,2951602.9121098644,2417869.667371963,0.6398139093070867,0.6357516826317953,0.637782795969441,23.02409863875024,23.111717586249007,23.067908112499623,False
LinearRegression,2070508.5201848987,153823.1892469674,1519835.950628501,2386821.3713482777,1953328.6609883893,1884136.425808786,2951602.9163172394,2417869.6710630124,0.639813908093277,0.6357516815933566,0.6377827948433168,23.024098678974646,23.111717620455053,23.06790814971485,False
SVR_Optimized,3016933.1828124104,309919.81572981755,2131117.704358647,3313096.6297913995,2722107.167075023,3160520.3661549515,4887439.698855448,4023980.0325051993,-0.013489920741873718,0.0012782265653725755,-0.006105847088250571,37.88806429585978,35.81087184758895,36.84946807172436,True
BayesianRidge,3072349.4619926484,314741.0304433027,2213668.6234268835,3350596.3880962464,2782132.5057615647,3145468.969378457,4905295.540286386,4025382.2548324214,-0.0038597877678354653,-0.0060325923584314545,-0.00494619006313346,37.42723841247746,35.95219108042725,36.68971474645235,False
LinearSVR_Optimized,9754768.573570216,241546.5595835664,7430592.241676748,11506023.276159508,9468307.758918129,8066506.239336998,12502259.937706321,10284383.08852166,-5.601964665531839,-5.535197882051586,-5.568581273791713,99.75788450699355,99.84399336433523,99.80093893566439,True
MLP_Optimized,9770779.383434314,242177.42704617456,7445941.186346168,11521372.152841555,9483656.669593861,8080706.576433564,12516366.23776873,10298536.407101147,-5.625229419855673,-5.549953529479895,-5.587591474667784,99.99729708249127,99.99826015383474,99.99777861816301,True
